,img_id,date,cloud_cover,vegetation_percentage,no_vegetation_percentage,water_percentage
0,0,2021-03-02,13.937848,57.224184,2.299605,18.524384
1,1,2021-03-02,4.518698,7.066406,0.824506,86.467159
2,2,2021-03-07,15.241702,55.378145,2.338764,18.444499
3,3,2021-03-07,11.510718,6.867416,0.748017,79.650259
4,4,2021-03-12,32.566695,40.504023,2.299484,15.69626
5,5,2021-03-12,4.002051,5.3171,0.710123,88.670266
6,6,2021-03-17,27.037163,43.695688,3.181662,17.616385
7,7,2021-03-17,3.105846,6.32531,0.995159,88.595194
8,8,2021-03-22,32.723518,35.220096,2.547983,18.955086
9,9,2021-03-22,13.67805,3.499537,0.353147,81.280726
10,10,2021-03-27,15.814243,54.297823,3.911868,18.06574
11,11,2021-03-27,5.129104,5.82809,0.914108,87.110686
12,12,2021-04-01,54.20594,20.369539,3.593364,14.384963
13,13,2021-04-01,73.061949,0.911079,0.115288,25.232455
14,14,2021-04-06,54.173162,24.587139,2.375983,12.348578
15,15,2021-04-06,68.512759,1.947392,0.347829,28.317094
16,16,2021-04-11,78.272092,6.708504,2.871965,7.588317
17,17,2021-04-11,83.19357,0.028537,0.030909,16.514859
18,18,2021-04-16,2.415277,70.846355,4.006331,19.09034
19,19,2021-04-16,3.848328,7.423943,1.45816,86.400694
20,20,2021-04-21,41.222174,24.377117,7.062531,15.106833
21,21,2021-04-21,14.449272,4.34111,1.188855,78.752375
22,22,2021-04-26,25.287282,45.92289,4.780107,16.678968
23,23,2021-04-26,10.003149,6.497616,1.217637,81.366873
24,24,2021-05-01,37.186061,38.587087,3.572011,16.866757
25,25,2021-05-01,26.304694,5.416764,0.805863,66.764921
26,26,2021-05-06,20.847484,50.803983,5.790282,17.066365
27,27,2021-05-06,10.336253,5.556372,1.452135,81.825793
28,28,2021-05-11,31.891174,40.444952,5.616753,16.405098
29,29,2021-05-11,9.636156,4.321446,1.306724,83.816177
30,30,2021-05-16,67.294536,10.048283,5.252234,11.479035
31,31,2021-05-16,69.085011,0.831915,0.571421,28.901133
32,32,2021-05-21,56.787444,21.885058,3.151647,13.697746
33,33,2021-05-21,68.297182,4.283616,1.029496,25.418511
34,34,2021-05-26,23.431161,50.393981,4.575136,16.967155
35,35,2021-05-26,12.624464,5.500622,1.076675,79.928815
36,36,2021-05-31,59.337866,29.952902,2.297612,5.468608
37,37,2021-05-31,33.527697,5.772536,1.097969,58.856976
38,38,2021-06-05,19.815275,56.683505,3.843873,15.95183
39,39,2021-06-05,14.473131,7.071785,1.113437,76.620984
40,40,2021-06-10,99.995826,0.000336,3e-05,0.003064
41,41,2021-06-10,90.253958,3e-06,3.6e-05,9.745999
42,42,2021-06-15,99.999994,0.0,0.0,0.0
43,43,2021-06-15,100.0,0.0,0.0,0.0
44,44,2021-06-20,52.256675,42.249405,1.568753,0.913461
45,45,2021-06-20,50.688184,4.233091,0.441651,44.103068
46,46,2021-06-25,32.968135,43.793818,2.265084,14.51865
